S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,Nivel_agua,Nivel_total
1524.09149,1524.68394,1530.24918,1538.6419,1552.56179,1553.28082,1530.98088,1539.25625,1544.74942,1550.44092,1545.14176,257.0,257.0
1524.0911,1524.68446,1530.25035,1538.64248,1552.56166,1553.27986,1530.98132,1539.25674,1544.74955,1550.44076,1545.14139,257.0,257.0
1524.09134,1524.68469,1530.2498,1538.64243,1552.56175,1553.27996,1530.98129,1539.25638,1544.74984,1550.44063,1545.14203,257.0,257.0
1524.09039,1524.68393,1530.24898,1538.64235,1552.56129,1553.28068,1530.98276,1539.25568,1544.75001,1550.44047,1545.14136,257.0,257.0
1524.09084,1524.6834,1530.24943,1538.64269,1552.56132,1553.28004,1530.98335,1539.25572,1544.749,1550.44021,1545.14119,257.0,257.0
1524.09116,1524.6839,1530.24936,1538.6428,1552.56111,1553.27999,1530.98182,1539.25693,1544.75017,1550.44037,1545.14177,257.0,257.0
1524.09109,1524.68363,1530.24977,1538.64266,1552.56175,1553.28063,1530.98272,1539.2567,1544.74993,1550.43943,1545.14161,257.0,257.0
1524.0917,1524.68379,1530.24983,1538.64306,1552.56126,1553.2803,1530.98205,1539.25606,1544.7508,1550.4397,1545.14181,257.0,257.0
1524.09119,1524.68356,1530.24996,1538.64182,1552.56136,1553.2798,1530.98265,1539.25639,1544.74981,1550.43977,1545.14177,257.0,257.0
1524.09123,1524.68286,1530.24928,1538.64288,1552.56139,1553.27969,1530.98287,1539.25726,1544.75028,1550.43952,1545.141,257.0,257.0
1524.09136,1524.68299,1530.24869,1538.64278,1552.56149,1553.27997,1530.98314,1539.25611,1544.74998,1550.43905,1545.14216,257.0,257.0
1524.09135,1524.68382,1530.24921,1538.64281,1552.56113,1553.27972,1530.9833,1539.2564,1544.75121,1550.43993,1545.14153,257.0,257.0
1524.09089,1524.68302,1530.24899,1538.6425,1552.56151,1553.27977,1530.98361,1539.25706,1544.74913,1550.43867,1545.14198,257.0,257.0
1524.09108,1524.68222,1530.24973,1538.64249,1552.56126,1553.28014,1530.98398,1539.25617,1544.74985,1550.43938,1545.14137,257.0,257.0
1524.09152,1524.68233,1530.24917,1538.64239,1552.56111,1553.28024,1530.98423,1539.25633,1544.7494,1550.43841,1545.14174,257.0,257.0
1524.09192,1524.68277,1530.24948,1538.64258,1552.56151,1553.27976,1530.98509,1539.25622,1544.74891,1550.43863,1545.14066,257.0,257.0
1524.09068,1524.68222,1530.24941,1538.64304,1552.56114,1553.27925,1530.98455,1539.25605,1544.74927,1550.43807,1545.14108,257.0,257.0
1524.09158,1524.68233,1530.25,1538.64306,1552.5608,1553.27994,1530.98487,1539.25634,1544.74983,1550.43881,1545.14128,257.0,257.0
1524.09145,1524.68194,1530.24979,1538.64295,1552.56133,1553.27914,1530.98488,1539.25661,1544.74958,1550.43817,1545.14149,257.0,257.0
1524.09138,1524.6819,1530.24987,1538.64287,1552.5617,1553.27998,1530.98497,1539.25653,1544.74856,1550.43895,1545.14172,257.0,257.0
1524.09072,1524.68182,1530.24901,1538.6423,1552.56152,1553.27939,1530.98515,1539.25651,1544.74915,1550.43863,1545.14109,257.0,257.0
1524.09151,1524.68188,1530.24916,1538.64252,1552.56067,1553.27966,1530.9846,1539.257,1544.74961,1550.43881,1545.14127,257.0,257.0
1524.09104,1524.68136,1530.24986,1538.64328,1552.56115,1553.28001,1530.98501,1539.25663,1544.74933,1550.43786,1545.14159,257.0,257.0
1524.09179,1524.68116,1530.25002,1538.64258,1552.56151,1553.27963,1530.98495,1539.25656,1544.74856,1550.43804,1545.14121,257.0,257.0
1524.0918,1524.68144,1530.25018,1538.64316,1552.56094,1553.27965,1530.98497,1539.25689,1544.75026,1550.43893,1545.14169,257.0,257.0
1524.09092,1524.68083,1530.24946,1538.64268,1552.56117,1553.28045,1530.98676,1539.25748,1544.7498,1550.43835,1545.14153,257.0,257.0
1524.09068,1524.68105,1530.24939,1538.64345,1552.5609,1553.27947,1530.98587,1539.25691,1544.75075,1550.43876,1545.14167,257.0,257.0
1524.0915,1524.68119,1530.2489,1538.64285,1552.56136,1553.2794,1530.98564,1539.25635,1544.74922,1550.43733,1545.14045,257.0,257.0
1524.09219,1524.68143,1530.249,1538.64253,1552.56107,1553.27909,1530.98681,1539.25656,1544.74914,1550.43708,1545.14164,257.0,257.0
1524.09166,1524.68054,1530.24939,1538.64338,1552.56112,1553.27962,1530.98674,1539.25721,1544.75028,1550.43803,1545.14097,257.0,257.0
1524.09111,1524.68003,1530.25002,1538.64256,1552.56124,1553.27919,1530.98726,1539.25664,1544.75042,1550.43731,1545.14196,257.0,257.0
1524.09139,1524.68064,1530.24967,1538.64262,1552.56144,1553.27926,1530.98731,1539.25732,1544.75037,1550.43749,1545.14123,257.0,257.0
1524.0915,1524.68067,1530.2495,1538.64315,1552.56075,1553.2793,1530.98771,1539.2567,1544.74945,1550.43721,1545.13967,257.0,257.0
1524.09068,1524.67965,1530.24975,1538.643,1552.5612,1553.27916,1530.98757,1539.25692,1544.75005,1550.43702,1545.14162,257.0,257.0
1524.09168,1524.68051,1530.24947,1538.6429,1552.56091,1553.27934,1530.98759,1539.25739,1544.75064,1550.43683,1545.14068,257.0,257.0
1524.09114,1524.68004,1530.24986,1538.64311,1552.56107,1553.27931,1530.98736,1539.2573,1544.7509,1550.43718,1545.1413,257.0,257.0
1524.09126,1524.68044,1530.24954,1538.64251,1552.56144,1553.27924,1530.98786,1539.25702,1544.7501,1550.43711,1545.14147,257.0,257.0
1524.09201,1524.67987,1530.25053,1538.64299,1552.56133,1553.27946,1530.98846,1539.25685,1544.75043,1550.43656,1545.14044,257.0,257.0
